,,Ctype,Trans,Csl,Anim,Verb
1,爆風が兵士を吹き飛ばした。,PhsH,High,Csl,Inverse,Paired
2,爆竹が子供を火傷させた。,PhsH,High,Csl,Inverse,Paired
3,突風が看板を倒した。,PhsH,High,Csl,basic,Paired
4,熱い鉄板がバターを溶かした。,PhsH,High,Csl,basic,Paired
5,落石が歩行者を押し潰した。,PhsH,High,Csl,Inverse,Unpaired
6,津波が彼を飲み込んだ。,PhsH,High,Csl,Inverse,Unpaired
7,爆撃が町を破壊した。,PhsH,High,Csl,basic,Unpaired
8,津波が村全体を飲み込んだ。,PhsH,High,Csl,basic,Unpaired
9,乱気流がキャビンアテンダントをよろめかせた。,PhsL,Low,Csl,Inverse,Paired
10,急な段差が視覚障害の男性をつまずかせた。,PhsL,Low,Csl,Inverse,Paired
11,そよ風がカーテンを揺らした。,PhsL,Low,Csl,basic,Paired
12,バラの棘が指を刺した。,PhsL,Low,Csl,basic,Paired
13,落下防止ネットが作業員を受け止めた。,PhsL,Low,Csl,Inverse,Unpaired
14,打球がピッチャーを直撃した。,PhsL,Low,Csl,Inverse,Unpaired
15,突風がテントを揺さぶった。,PhsL,Low,Csl,basic,Unpaired
16,雪がみるみるうちに道路を覆った。,PhsL,Low,Csl,basic,Unpaired
17,借金が彼を苦しめた。,Aff,Low,Csl,Inverse,Paired
18,激しい雷鳴が子供達を怖がらせた。,Aff,Low,Csl,Inverse,Paired
19,新作映画が観客を魅了した。,Aff,Low,Csl,Inverse,Unpaired
20,初戦の勝利が選手たちを鼓舞した。,Aff,Low,Csl,Inverse,Unpaired
21,駅前の大画面モニターが行き交う人々を映している。,Loc,Low,NCsl,Inverse,Paired
22,巨大な客船がたくさんの乗客を乗せている。,Loc,Low,NCsl,Inverse,Paired
23,剪定の不十分な街路樹が信号を隠している。,Loc,Low,NCsl,basic,Paired
24,倒れた木が道路を塞いでいる。,Loc,Low,NCsl,basic,Paired
25,険しい山が村人たちを隔てている。,Loc,Low,NCsl,Inverse,Unpaired
26,高い壁が囚人たちを取り囲んでいる。,Loc,Low,NCsl,Inverse,Unpaired
27,物価上昇率が賃金上昇率を上回っている。,Loc,Low,NCsl,basic,Unpaired
28,珊瑚礁が島を囲んでいる。,Loc,Low,NCsl,basic,Unpaired
29,この選手名鑑は過去の主要な有名選手たちを載せている。,Poss,Low,NCsl,Inverse,Paired
30,このビジネススクールはたくさんの人材を生んだ。,Poss,Low,NCsl,Inverse,Paired
31,このヒーターは自動オフ機能を備えている。,Poss,Low,NCsl,basic,Paired
32,ここの井戸水は豊富なミネラルを含んでいる。,Poss,Low,NCsl,basic,Paired
33,この会社は優秀なエンジニアたちを擁している。,Poss,Low,NCsl,Inverse,Unpaired
34,この国は大量の失業者を抱えている。,Poss,Low,NCsl,Inverse,Unpaired
35,今度のアルバムは新曲をたくさん収録している。,Poss,Low,NCsl,basic,Unpaired
36,この薬は強い副作用を持つ。,Poss,Low,NCsl,basic,Unpaired